entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Yucatán,San Marino,2001,1,2001-03-01,7.998976
Baja California Sur,Chad,2005,4,2005-12-01,8.438976
Nuevo León,Cape Verde,2017,4,2017-12-01,0.24861
Coahuila,Georgia,2021,3,2021-09-01,9.227049
Puebla,Cuba,2003,4,2003-12-01,4.404251
Estado de México,Antigua and Barbuda,2016,1,2016-03-01,2.879359
Chiapas,Rwanda,2001,2,2001-06-01,4.359485
Tamaulipas,Jamaica,2009,2,2009-06-01,5.509951
Yucatán,Christmas Island,2010,4,2010-12-01,7.222303
Michoacán,Serbia,2013,1,2013-03-01,0.148839
San Luis Potosí,Cape Verde,2008,4,2008-12-01,4.157917
Tlaxcala,American Samoa,2018,2,2018-06-01,8.769992
Guerrero,Cameroon,2005,3,2005-09-01,4.328116
Chiapas,Netherlands Antilles,2019,2,2019-06-01,3.391286
Ciudad de México,Saudi Arabia,2007,4,2007-12-01,8.945933
Durango,North Macedonia,2004,4,2004-12-01,5.642723
Aguascalientes,Luxembourg,2017,3,2017-09-01,2.477847
Puebla,United Arab Emirates,2023,2,2023-06-01,8.258297
Tamaulipas,Svalbard & Jan Mayen Islands,2015,3,2015-09-01,4.987945
Tamaulipas,Bosnia and Herzegovina,2017,3,2017-09-01,5.913991
Jalisco,Antarctica (the territory South of 60 deg S),2005,1,2005-03-01,8.732714
Veracruz,Congo,2013,4,2013-12-01,2.115604
Michoacán,Ecuador,2007,3,2007-09-01,9.923183
Querétaro,Saint Barthelemy,2009,4,2009-12-01,0.4046
Chiapas,France,2022,2,2022-06-01,9.17433
Ciudad de México,Hungary,2012,4,2012-12-01,0.059851
Guanajuato,Georgia,2011,3,2011-09-01,4.341468
Coahuila,Pakistan,2016,1,2016-03-01,7.14682
Puebla,Wallis and Futuna,2004,2,2004-06-01,9.764796
Michoacán,Antigua and Barbuda,2002,1,2002-03-01,2.566061
Tamaulipas,Cuba,2008,1,2008-03-01,3.58226
Aguascalientes,Cuba,2010,4,2010-12-01,9.538913
San Luis Potosí,Greece,2008,1,2008-03-01,4.601559
Estado de México,Pakistan,2017,4,2017-12-01,4.23617
Chihuahua,Montenegro,2014,1,2014-03-01,9.555653
Chihuahua,Saint Barthelemy,2004,3,2004-09-01,6.118974
Jalisco,Ethiopia,2016,1,2016-03-01,0.499452
Tlaxcala,France,2002,3,2002-09-01,7.476761
Nayarit,Jamaica,2012,3,2012-09-01,2.677348
Yucatán,Brazil,2012,3,2012-09-01,3.628481
Baja California Sur,Montenegro,2001,1,2001-03-01,5.269103
Estado de México,Guinea-Bissau,2021,3,2021-09-01,3.786197
Tlaxcala,Malta,2023,1,2023-03-01,4.456076
San Luis Potosí,Algeria,2001,4,2001-12-01,9.120762
Michoacán,Jordan,2009,3,2009-09-01,5.965337
Morelos,Jersey,2023,3,2023-09-01,8.921408
Coahuila,Macao,2005,4,2005-12-01,9.987272
Estado de México,Iran,2023,2,2023-06-01,0.516059
San Luis Potosí,Iran,2010,1,2010-03-01,7.771259
Estado de México,Jersey,2019,1,2019-03-01,1.32302
Veracruz,Iraq,2018,1,2018-03-01,5.384983
Baja California Sur,Micronesia,2015,1,2015-03-01,4.828308
Quintana Roo,Equatorial Guinea,2015,1,2015-03-01,4.057535
Nayarit,Portugal,2001,1,2001-03-01,7.51489
Campeche,Saint Barthelemy,2018,3,2018-09-01,9.836049
Baja California,Saint Barthelemy,2017,2,2017-06-01,5.53918
Nuevo León,Palau,2016,3,2016-09-01,2.30672
Puebla,Mayotte,2020,3,2020-09-01,5.548441
Jalisco,Iraq,2014,3,2014-09-01,2.866466
Tabasco,San Marino,2012,4,2012-12-01,0.624911
Puebla,Georgia,2008,2,2008-06-01,2.679111
Morelos,Antigua and Barbuda,2006,4,2006-12-01,7.407789
Querétaro,Palau,2007,1,2007-03-01,6.300754
Ciudad de México,Ireland,2021,2,2021-06-01,4.255636
Guerrero,Mayotte,2023,4,2023-12-01,3.280691
Jalisco,Fiji,2002,4,2002-12-01,9.046574
Chiapas,Cyprus,2018,3,2018-09-01,5.892849
Tabasco,Lithuania,2015,4,2015-12-01,2.576126
Tabasco,Cambodia,2017,3,2017-09-01,9.312296
Coahuila,Libyan Arab Jamahiriya,2013,1,2013-03-01,9.399705
Quintana Roo,Algeria,2002,2,2002-06-01,9.43027
Veracruz,Macao,2017,4,2017-12-01,4.9943
Coahuila,Swaziland,2012,4,2012-12-01,2.231127
Tlaxcala,Jersey,2023,2,2023-06-01,2.64193
Tlaxcala,Pakistan,2010,4,2010-12-01,6.042889
Jalisco,Ireland,2008,3,2008-09-01,9.095875
Michoacán,Angola,2019,4,2019-12-01,1.917493
Baja California Sur,North Macedonia,2021,3,2021-09-01,6.227835
Oaxaca,Saint Barthelemy,2023,4,2023-12-01,7.360872
Nayarit,Paraguay,2011,2,2011-06-01,6.814164
Morelos,Svalbard & Jan Mayen Islands,2001,1,2001-03-01,3.964139
Chiapas,Saint Barthelemy,2022,2,2022-06-01,5.519235
Tamaulipas,Fiji,2009,4,2009-12-01,4.02214
Veracruz,Germany,2004,3,2004-09-01,7.823754
Sonora,Tanzania,2015,1,2015-03-01,7.668551
Querétaro,Paraguay,2022,1,2022-03-01,5.992333
Nayarit,Cape Verde,2007,4,2007-12-01,7.799523
Campeche,Syrian Arab Republic,2021,3,2021-09-01,3.152526
Querétaro,Ireland,2014,2,2014-06-01,3.815551
Ciudad de México,Cape Verde,2009,3,2009-09-01,1.529745
Sonora,Serbia,2019,2,2019-06-01,6.290915
Oaxaca,Gibraltar,2004,4,2004-12-01,3.589654
Campeche,Paraguay,2012,1,2012-03-01,0.046179
Chiapas,Jersey,2007,2,2007-06-01,4.027269
Campeche,Vietnam,2006,2,2006-06-01,9.695599
Ciudad de México,Solomon Islands,2005,4,2005-12-01,7.855112
Tabasco,Swaziland,2002,3,2002-09-01,7.252309
Nayarit,American Samoa,2018,1,2018-03-01,2.574187
Veracruz,Angola,2006,4,2006-12-01,2.82065
Guerrero,Togo,2009,3,2009-09-01,1.550139
Guerrero,Guadeloupe,2002,1,2002-03-01,7.427447
Baja California,Bosnia and Herzegovina,2023,2,2023-06-01,9.166957
Quintana Roo,Algeria,2015,4,2015-12-01,0.48449
Chihuahua,Liberia,2007,4,2007-12-01,2.540903
Zacatecas,China,2010,1,2010-03-01,3.849885
Baja California Sur,Paraguay,2017,2,2017-06-01,1.614045
Veracruz,El Salvador,2016,3,2016-09-01,6.389244
Hidalgo,Cyprus,2012,4,2012-12-01,2.095755
Chiapas,Cyprus,2012,3,2012-09-01,1.607846
Tamaulipas,Mayotte,2014,3,2014-09-01,7.700572
Hidalgo,Brazil,2005,3,2005-09-01,6.471116
Aguascalientes,Korea,2018,2,2018-06-01,3.566786
Jalisco,Portugal,2008,1,2008-03-01,2.335025
Tamaulipas,Hungary,2005,4,2005-12-01,0.161227
Hidalgo,Germany,2017,2,2017-06-01,7.264356
Estado de México,Solomon Islands,2016,4,2016-12-01,8.172157
Oaxaca,Afghanistan,2009,1,2009-03-01,5.696504
Chiapas,Cambodia,2009,3,2009-09-01,4.498331
Coahuila,Netherlands Antilles,2016,2,2016-06-01,0.15766
Baja California,French Southern Territories,2017,3,2017-09-01,8.041369
Baja California,Macao,2000,3,2000-09-01,3.683543
Nayarit,Saint Barthelemy,2010,4,2010-12-01,1.367083
Chihuahua,Greenland,2012,4,2012-12-01,8.85474
Yucatán,Saudi Arabia,2017,1,2017-03-01,1.358521
Oaxaca,Aruba,2016,3,2016-09-01,9.685825
Ciudad de México,Paraguay,2020,4,2020-12-01,7.905196
Tlaxcala,Iran,2016,3,2016-09-01,1.927438
Tamaulipas,United States of America,2021,4,2021-12-01,2.351147
Chiapas,Gambia,2020,2,2020-06-01,2.097755
Hidalgo,Brazil,2022,3,2022-09-01,2.989541
Campeche,Antigua and Barbuda,2012,4,2012-12-01,2.549168
Tamaulipas,Chad,2021,2,2021-06-01,1.575334
Colima,Togo,2008,2,2008-06-01,0.64907
Aguascalientes,Montenegro,2017,1,2017-03-01,4.73007
Baja California Sur,Tuvalu,2014,1,2014-03-01,5.140304
Chihuahua,Korea,2004,4,2004-12-01,2.080302
Nuevo León,Hong Kong,2000,3,2000-09-01,8.965803
Durango,Serbia,2004,3,2004-09-01,5.779821
Coahuila,Saint Barthelemy,2007,2,2007-06-01,6.459812
Michoacán,Egypt,2012,1,2012-03-01,9.168189
Querétaro,Saint Kitts and Nevis,2019,4,2019-12-01,4.622666
Quintana Roo,Sierra Leone,2015,1,2015-03-01,0.352294
Nuevo León,Paraguay,2012,3,2012-09-01,4.057983
Sinaloa,Antarctica (the territory South of 60 deg S),2007,1,2007-03-01,0.655942
Tabasco,Brazil,2021,1,2021-03-01,2.781486
Ciudad de México,France,2017,4,2017-12-01,7.673218
San Luis Potosí,Equatorial Guinea,2004,2,2004-06-01,7.534333
Sonora,Montenegro,2001,4,2001-12-01,9.026142
Coahuila,Belarus,2021,4,2021-12-01,5.257053
Guanajuato,France,2021,1,2021-03-01,2.259528
Nayarit,Macao,2017,1,2017-03-01,5.852702
Morelos,Guyana,2012,3,2012-09-01,9.245265
Sonora,Brazil,2017,4,2017-12-01,7.172626
Durango,Libyan Arab Jamahiriya,2016,3,2016-09-01,0.452376
Quintana Roo,Gibraltar,2009,2,2009-06-01,8.967197
San Luis Potosí,North Macedonia,2014,2,2014-06-01,0.607912
Hidalgo,Antigua and Barbuda,2014,1,2014-03-01,3.086085
Quintana Roo,Greenland,2007,1,2007-03-01,4.590418
Puebla,South Georgia and the South Sandwich Islands,2012,3,2012-09-01,3.454569
Yucatán,Botswana,2017,3,2017-09-01,4.021
Jalisco,Turkey,2014,1,2014-03-01,7.881029
Sinaloa,Iran,2002,2,2002-06-01,9.423703
Zacatecas,Cameroon,2013,4,2013-12-01,5.433404
Chihuahua,Korea,2022,1,2022-03-01,5.265624
Jalisco,Gibraltar,2018,4,2018-12-01,1.0803
Nayarit,Greenland,2014,4,2014-12-01,0.559341
Michoacán,Holy See (Vatican City State),2017,1,2017-03-01,6.715037
Veracruz,Botswana,2021,4,2021-12-01,1.688058
Jalisco,Congo,2018,2,2018-06-01,7.796926
Guanajuato,China,2013,3,2013-09-01,4.653451
Nayarit,Malta,2011,1,2011-03-01,9.151938
Michoacán,Greenland,2022,2,2022-06-01,4.169222
Durango,Morocco,2008,3,2008-09-01,3.424418
Tabasco,Lithuania,2017,4,2017-12-01,9.821066
Chiapas,Chad,2014,2,2014-06-01,1.645584
Coahuila,Swaziland,2014,1,2014-03-01,5.395681
Guerrero,Egypt,2009,2,2009-06-01,2.677208
Veracruz,Singapore,2020,2,2020-06-01,6.709515
Yucatán,Vietnam,2004,3,2004-09-01,9.876924
Tamaulipas,Norway,2023,3,2023-09-01,5.805149
San Luis Potosí,Andorra,2017,1,2017-03-01,4.573768
Baja California,Paraguay,2017,4,2017-12-01,4.969742
Yucatán,Cocos (Keeling) Islands,2001,4,2001-12-01,5.074241
Ciudad de México,Macao,2005,3,2005-09-01,4.65601
Zacatecas,South Africa,2012,2,2012-06-01,9.23389
Baja California,Bahamas,2000,2,2000-06-01,2.736953
Puebla,American Samoa,2013,4,2013-12-01,1.910814
Hidalgo,Saint Kitts and Nevis,2021,2,2021-06-01,7.848616
Campeche,Cameroon,2010,4,2010-12-01,7.0219
Nuevo León,Saudi Arabia,2013,4,2013-12-01,6.340251
Baja California Sur,South Georgia and the South Sandwich Islands,2011,2,2011-06-01,6.388994
San Luis Potosí,Latvia,2011,4,2011-12-01,2.077224
Baja California,Heard Island and McDonald Islands,2016,1,2016-03-01,9.088847
Oaxaca,Malta,2018,1,2018-03-01,3.308046
Nayarit,China,2016,2,2016-06-01,9.338238
Baja California Sur,Poland,2006,3,2006-09-01,1.959229
Chiapas,France,2001,1,2001-03-01,9.481424
Nayarit,Ireland,2020,1,2020-03-01,8.803172
Nayarit,Iran,2012,3,2012-09-01,3.473697
Puebla,China,2016,4,2016-12-01,4.048917
Morelos,Cameroon,2006,1,2006-03-01,9.566189
Tabasco,Cocos (Keeling) Islands,2023,2,2023-06-01,8.761847
Morelos,Angola,2011,4,2011-12-01,0.525672
Guerrero,Netherlands Antilles,2020,1,2020-03-01,9.097369
Aguascalientes,Andorra,2011,4,2011-12-01,6.509248
Coahuila,Greenland,2007,1,2007-03-01,1.787189
Colima,Guadeloupe,2018,4,2018-12-01,1.96166
Tlaxcala,Cambodia,2012,1,2012-03-01,3.546008
Michoacán,Montenegro,2011,1,2011-03-01,7.705745
Campeche,Paraguay,2002,2,2002-06-01,2.366821
Nayarit,Gabon,2023,3,2023-09-01,6.657855
Zacatecas,Seychelles,2020,2,2020-06-01,1.487581
Querétaro,Malta,2020,4,2020-12-01,9.856693
Chihuahua,Poland,2011,4,2011-12-01,3.36076
Guerrero,Paraguay,2008,2,2008-06-01,6.554265
Zacatecas,Latvia,2003,3,2003-09-01,6.632301
Nayarit,Grenada,2009,4,2009-12-01,3.841937
Sonora,Micronesia,2003,2,2003-06-01,5.021016
Tabasco,Algeria,2002,1,2002-03-01,4.805005
Morelos,Heard Island and McDonald Islands,2017,2,2017-06-01,9.488527
Tabasco,Cape Verde,2000,4,2000-12-01,0.536272
Tlaxcala,Moldova,2002,4,2002-12-01,7.675682
Baja California Sur,San Marino,2008,3,2008-09-01,7.221192
Colima,Peru,2023,4,2023-12-01,0.317684
Estado de México,Liberia,2019,2,2019-06-01,7.475986
Jalisco,Morocco,2000,1,2000-03-01,3.538878
Querétaro,Moldova,2016,4,2016-12-01,9.517245
Morelos,Guadeloupe,2021,1,2021-03-01,2.059746
Hidalgo,Indonesia,2019,4,2019-12-01,4.376784
Colima,Guyana,2013,4,2013-12-01,0.268948
Veracruz,Luxembourg,2004,4,2004-12-01,3.950165
Morelos,Algeria,2019,4,2019-12-01,5.552768
San Luis Potosí,Tanzania,2014,4,2014-12-01,6.283145
San Luis Potosí,Ireland,2021,3,2021-09-01,0.525271
Michoacán,Jordan,2003,1,2003-03-01,6.172936
Quintana Roo,Cocos (Keeling) Islands,2011,2,2011-06-01,9.171174
Baja California,Cambodia,2003,4,2003-12-01,8.898831
Tlaxcala,Antigua and Barbuda,2018,3,2018-09-01,4.304791
Querétaro,Egypt,2010,1,2010-03-01,5.951822
Oaxaca,Palau,2006,1,2006-03-01,4.803427
Hidalgo,Egypt,2020,4,2020-12-01,2.415672
Baja California Sur,Benin,2015,2,2015-06-01,5.972137
Colima,Luxembourg,2017,1,2017-03-01,5.776091
Veracruz,Gambia,2011,3,2011-09-01,2.25324
Aguascalientes,Cambodia,2003,2,2003-06-01,7.988505
San Luis Potosí,Serbia,2005,1,2005-03-01,2.813371
Chihuahua,Belarus,2016,4,2016-12-01,9.587591
Nuevo León,Benin,2011,3,2011-09-01,1.127562
Zacatecas,Portugal,2008,4,2008-12-01,0.866792
Guerrero,Macao,2001,1,2001-03-01,0.746932
Tabasco,Ireland,2020,4,2020-12-01,4.972946
Yucatán,Monaco,2012,3,2012-09-01,0.047119
Coahuila,Aruba,2006,3,2006-09-01,0.827667
Coahuila,Liberia,2009,3,2009-09-01,2.925824
Coahuila,Mayotte,2012,4,2012-12-01,7.776033
Nayarit,Singapore,2002,4,2002-12-01,8.711417
Morelos,Belarus,2007,3,2007-09-01,2.159441
Colima,Guam,2007,3,2007-09-01,6.915952
Veracruz,Macao,2016,1,2016-03-01,4.035021
Veracruz,Tanzania,2018,3,2018-09-01,5.982332
Tabasco,Portugal,2003,3,2003-09-01,2.842552
Tlaxcala,Palau,2023,2,2023-06-01,3.236825
Querétaro,Iraq,2013,2,2013-06-01,9.01886
Coahuila,South Africa,2011,1,2011-03-01,2.44158
Colima,Lesotho,2022,3,2022-09-01,1.48845
Tlaxcala,Mayotte,2019,4,2019-12-01,9.223173
Baja California,Mali,2023,4,2023-12-01,6.419532
Puebla,Pakistan,2013,2,2013-06-01,6.781202
Quintana Roo,Mexico,2020,1,2020-03-01,2.448281
Campeche,Gambia,2003,1,2003-03-01,9.521785
Guerrero,Belarus,2002,4,2002-12-01,2.805569
Zacatecas,Grenada,2014,3,2014-09-01,2.401618
Chihuahua,Rwanda,2020,1,2020-03-01,8.139854
Morelos,Canada,2001,2,2001-06-01,6.717822
Chihuahua,Grenada,2019,3,2019-09-01,2.97106
Sonora,France,2008,3,2008-09-01,3.723895
Baja California Sur,Afghanistan,2006,3,2006-09-01,6.715411
Michoacán,Saudi Arabia,2022,3,2022-09-01,1.293946
Coahuila,Belarus,2021,1,2021-03-01,8.04893
Aguascalientes,Iraq,2020,1,2020-03-01,0.642263
Chiapas,Swaziland,2019,1,2019-03-01,7.451167
Tlaxcala,Botswana,2002,4,2002-12-01,5.562346
Morelos,San Marino,2005,3,2005-09-01,9.174403
Coahuila,Congo,2015,3,2015-09-01,7.043703
Sonora,Latvia,2009,2,2009-06-01,8.893164
Campeche,Eritrea,2019,2,2019-06-01,5.867842
Michoacán,Pakistan,2011,4,2011-12-01,6.310135
Hidalgo,Saint Barthelemy,2017,3,2017-09-01,9.720384
Yucatán,Antarctica (the territory South of 60 deg S),2007,3,2007-09-01,4.292566
Yucatán,Central African Republic,2012,4,2012-12-01,4.852783
Yucatán,San Marino,2014,1,2014-03-01,2.193773
Sonora,Moldova,2017,1,2017-03-01,3.507266
Hidalgo,Syrian Arab Republic,2015,3,2015-09-01,5.829383
Quintana Roo,Jordan,2004,1,2004-03-01,4.474094
Zacatecas,Seychelles,2015,1,2015-03-01,6.603256
Morelos,Iran,2000,3,2000-09-01,0.203267
Yucatán,Eritrea,2015,4,2015-12-01,4.104195
Puebla,Nicaragua,2011,3,2011-09-01,6.472967
Chiapas,Macao,2002,4,2002-12-01,5.038784
Guerrero,Guinea-Bissau,2008,4,2008-12-01,5.389391
Jalisco,Morocco,2000,4,2000-12-01,5.689115
Sinaloa,Guadeloupe,2005,4,2005-12-01,1.443974
Tabasco,Canada,2013,2,2013-06-01,7.688663
Sinaloa,Bosnia and Herzegovina,2013,4,2013-12-01,6.519483
Quintana Roo,Spain,2004,3,2004-09-01,8.349658
Hidalgo,Cape Verde,2019,3,2019-09-01,0.771339
Sonora,Paraguay,2004,3,2004-09-01,8.312869
Tlaxcala,Montenegro,2016,4,2016-12-01,5.14591
Michoacán,Bolivia,2002,4,2002-12-01,4.081794
Michoacán,Paraguay,2023,4,2023-12-01,8.857532
Puebla,Costa Rica,2020,3,2020-09-01,0.702442
Sonora,Gambia,2003,1,2003-03-01,6.824712
Durango,Liberia,2007,3,2007-09-01,4.616221
Ciudad de México,Ethiopia,2005,4,2005-12-01,6.118358
Puebla,Lithuania,2021,1,2021-03-01,6.949908
Aguascalientes,Bolivia,2019,4,2019-12-01,8.207556
Sonora,Tanzania,2007,1,2007-03-01,7.326409
Estado de México,Botswana,2008,1,2008-03-01,5.683779
Oaxaca,Moldova,2003,2,2003-06-01,6.529537
Estado de México,Andorra,2021,2,2021-06-01,4.107705
Sinaloa,Netherlands Antilles,2013,3,2013-09-01,9.143178
Puebla,Sudan,2005,3,2005-09-01,7.802591
Hidalgo,Tuvalu,2017,3,2017-09-01,6.657536
Sonora,Congo,2004,2,2004-06-01,8.094154
Baja California Sur,Palau,2009,2,2009-06-01,8.522865
Chihuahua,Togo,2020,4,2020-12-01,3.106841
Tamaulipas,New Caledonia,2013,4,2013-12-01,3.013207
Quintana Roo,Jamaica,2016,1,2016-03-01,6.808548
Chihuahua,Iran,2005,4,2005-12-01,2.53243
Chihuahua,American Samoa,2019,4,2019-12-01,3.237048
Sinaloa,United Arab Emirates,2008,2,2008-06-01,1.311961
Coahuila,Saudi Arabia,2000,4,2000-12-01,5.483172
Colima,Cuba,2022,3,2022-09-01,6.30685
Chiapas,Andorra,2000,4,2000-12-01,9.873578
Oaxaca,Gibraltar,2016,2,2016-06-01,1.440514
Guanajuato,Korea,2014,4,2014-12-01,4.858164
Campeche,Antarctica (the territory South of 60 deg S),2015,1,2015-03-01,8.059636
Morelos,Angola,2005,1,2005-03-01,3.340988
Nayarit,Jordan,2012,1,2012-03-01,7.438921
Morelos,Guyana,2002,2,2002-06-01,9.307202
Baja California Sur,Sudan,2015,3,2015-09-01,1.243186
Coahuila,Jersey,2014,2,2014-06-01,8.736313
San Luis Potosí,Botswana,2004,2,2004-06-01,8.224764
Tabasco,Brazil,2023,1,2023-03-01,1.379835
Baja California,Macao,2012,3,2012-09-01,0.255298
Querétaro,Isle of Man,2011,4,2011-12-01,9.624972
Tlaxcala,Costa Rica,2000,2,2000-06-01,6.129517
Guanajuato,Eritrea,2003,1,2003-03-01,0.466294
Durango,Mexico,2013,1,2013-03-01,3.496677
Ciudad de México,Algeria,2021,1,2021-03-01,9.556193
Coahuila,Antarctica (the territory South of 60 deg S),2000,3,2000-09-01,1.247985
Hidalgo,Qatar,2010,2,2010-06-01,8.018269
Yucatán,Jersey,2003,2,2003-06-01,2.41521
Campeche,United States of America,2009,3,2009-09-01,2.008091
Yucatán,Singapore,2021,4,2021-12-01,5.507205
Colima,Tanzania,2003,1,2003-03-01,8.861679
Durango,France,2005,2,2005-06-01,3.599164
San Luis Potosí,Poland,2000,3,2000-09-01,0.359507
Colima,Gambia,2005,3,2005-09-01,7.888583
Puebla,Iran,2007,3,2007-09-01,6.130328
Quintana Roo,Poland,2001,1,2001-03-01,1.285748
Chihuahua,Greece,2011,3,2011-09-01,7.069935
Michoacán,Jamaica,2002,1,2002-03-01,3.798145
Nayarit,Jamaica,2016,2,2016-06-01,7.139179
Morelos,Belarus,2007,4,2007-12-01,9.055618
Sinaloa,Turkey,2019,2,2019-06-01,9.985989
Baja California Sur,Paraguay,2012,2,2012-06-01,8.715625
Sonora,Cape Verde,2012,3,2012-09-01,1.032324
Coahuila,Antarctica (the territory South of 60 deg S),2019,2,2019-06-01,2.376651
San Luis Potosí,Macao,2003,1,2003-03-01,4.548732
Ciudad de México,Burkina Faso,2002,1,2002-03-01,4.315661
Tabasco,Jamaica,2000,3,2000-09-01,9.038739
Guerrero,Singapore,2017,2,2017-06-01,9.455515
Tabasco,French Southern Territories,2014,4,2014-12-01,9.418429
Guanajuato,Tanzania,2018,4,2018-12-01,2.672649
Ciudad de México,Botswana,2004,3,2004-09-01,2.30874
Veracruz,Algeria,2023,1,2023-03-01,6.883504
Sinaloa,Palau,2001,2,2001-06-01,6.873089
Tlaxcala,Saint Lucia,2017,2,2017-06-01,9.125388
Michoacán,Korea,2015,3,2015-09-01,5.443787
Chiapas,Macao,2018,3,2018-09-01,7.016299
Morelos,New Caledonia,2012,1,2012-03-01,5.418934
Nayarit,Ireland,2020,1,2020-03-01,8.635456
Guanajuato,Solomon Islands,2003,2,2003-06-01,9.604497
Michoacán,Botswana,2008,3,2008-09-01,4.354714
Colima,Lesotho,2015,4,2015-12-01,2.632267
Chiapas,Iraq,2013,2,2013-06-01,9.735255
San Luis Potosí,Lithuania,2009,3,2009-09-01,7.689421
Estado de México,Saint Lucia,2021,2,2021-06-01,1.814714
Querétaro,Tanzania,2010,1,2010-03-01,0.824474
Nayarit,Latvia,2010,2,2010-06-01,5.739731
Guerrero,Syrian Arab Republic,2009,2,2009-06-01,1.997444
Tamaulipas,Guadeloupe,2008,1,2008-03-01,9.569888
Ciudad de México,Andorra,2006,4,2006-12-01,9.767977
Querétaro,Cuba,2019,2,2019-06-01,0.636356
Jalisco,Paraguay,2009,3,2009-09-01,4.004216
Sonora,France,2012,4,2012-12-01,3.339907
Sonora,Tokelau,2003,3,2003-09-01,1.004508
Veracruz,Saint Lucia,2000,4,2000-12-01,0.931995
Quintana Roo,Belarus,2004,2,2004-06-01,7.733213
Jalisco,Iran,2019,4,2019-12-01,3.999907
Estado de México,Mexico,2021,1,2021-03-01,4.136506
Estado de México,Macao,2001,4,2001-12-01,5.892861
Tlaxcala,Qatar,2001,2,2001-06-01,7.703929
Baja California Sur,Portugal,2020,3,2020-09-01,8.27069
Chiapas,Sudan,2010,4,2010-12-01,9.529121
Guanajuato,Lithuania,2003,1,2003-03-01,4.392321
Aguascalientes,Latvia,2006,3,2006-09-01,6.522071
Colima,Ecuador,2005,4,2005-12-01,0.027594
